page,title,date,total,available,type,pay,percent,dates,days
213716,해적들의 '유니콘 프로젝트',2020.5.1 (금) 14:00 ~ 16:00,7.0,0.0,세미나/컨퍼런스,유료,1.0,2020-05-01,(금)
213717,나는 매주 한권 책 쓴다,2020.5.1 (금) 19:30 ~ 21:30,6.0,0.0,강연,유료,1.0,2020-05-01,(금)
213718,"비트코인, 해외선물 프로그램 자동매매 시연회 개최 (100세시대 현실적 대안 만들기)",2020.4.29 (수) 14:00 ~ 15:30,30.0,0.0,교육,무료,1.0,2020-04-29,(수)
213721,[ 4월3차 ] 최재원 내면여행 3회기 전화상담,2020.5.2 (토) 12:30 ~ 13:00,2.0,0.0,기타,유료,1.0,2020-05-02,(토)
213722,[ 4월3차 ] 최재원 내면여행 전화상담,2020.5.2 (토) 12:30 ~ 13:00,9.0,0.0,기타,유료,1.0,2020-05-02,(토)
213723,비즈영Lab 20200424,2020.4.26 (일) 10:00 ~ 12:00,9.0,0.0,교육,무료,1.0,2020-04-26,(일)
213726,2020년 청년키움식당 성수점 2기 / 3기 운영팀 모집,2020.5.8 (금) 18:00 ~ 19:00,100.0,0.0,공모전,무료,1.0,2020-05-08,(금)
213727,(5/ 6 수) 무자본 무재고 글로벌셀러 창업하기 무료세미나,2020.5.6 (수) 14:00 ~ 17:00,20.0,0.0,세미나/컨퍼런스,무료,1.0,2020-05-06,(수)
213729,(5/ 9 토) 무자본 무재고 글로벌셀러 창업하기 무료세미나,2020.5.9 (토) 14:00 ~ 17:00,20.0,0.0,세미나/컨퍼런스,무료,1.0,2020-05-09,(토)
213730,특강-자신있게 프로답게 말하기 자신감 스피치,2020.5.14 (목) 19:00 ~ 20:30,20.0,0.0,교육,유료,1.0,2020-05-14,(목)
213732,여자사업가들의 독서모임 with 강남의 탄생,2020.5.10 (일) 10:30 ~ 12:30,12.0,0.0,소모임/친목행사,유료,1.0,2020-05-10,(일)
213733,[무료/6월] 소중한 내 자산을 위한 재테크 핵심 요약정리,2020.6.6 (토) 10:00 ~ 12:00,25.0,0.0,세미나/컨퍼런스,무료,1.0,2020-06-06,(토)
213740,하루만에 나만의 이모티콘 제작부터 판매하고 돈벌기!,2020.4.30 (목) 18:30 ~ 21:30,5.0,0.0,취미활동,유료,1.0,2020-04-30,(목)
213741,내집 마련하기 - 나는 26살에 내 부동산을 가졌다.,2020.4.29 (수) 18:30 ~ 20:00,5.0,0.0,교육,유료,1.0,2020-04-29,(수)
213746,[인문학] '불멸의 자각' 저자와의 만남 (주제 : '나는 누구인가?'),2020.5.2 (토) 15:30 ~ 18:30,5.0,0.0,강연,유료,1.0,2020-05-02,(토)
213750,[도화APT×잇츠허니!] 허니테이스팅 클래스,2020.5.8 (금) 19:00 ~ 20:30,20.0,0.0,교육,유료,1.0,2020-05-08,(금)
213751,[프리즌 이스케이프] 온오프믹스 특별초대 시사회,2020.5.7 (목) 19:30 ~ 21:30,15.0,0.0,이벤트/파티,무료,1.0,2020-05-07,(목)
213752,한국상사법학회 춘계학술대회,2020.5.8 (금) 14:00 ~ 18:00,500.0,0.0,세미나/컨퍼런스,무료,1.0,2020-05-08,(금)
213753,회사탈출맥주모임 - 회사탈출을 위한 작당모의,2020.4.30 (목) 19:00 ~ 21:00,10.0,0.0,소모임/친목행사,유료,1.0,2020-04-30,(목)
213754,뭔가 될 것 같은 목요일 오후 - 백수탈출 커피모임,2020.4.30 (목) 14:00 ~ 16:00,10.0,0.0,기타,유료,1.0,2020-04-30,(목)
213755,초딩과 할머니도 하는 내 명함 스스로 만들기 with 명함깎는청년,2020.4.29 (수) 17:00 ~ 20:00,5.0,0.0,교육,유료,1.0,2020-04-29,(수)
213757,매력개발&어필법 한달안에 배우고 연애시작 + 연애 유지 기술,2020.5.2 (토) 10:00 ~ 12:30,20.0,0.0,교육,무료,1.0,2020-05-02,(토)
213758,"[뛰기는 싫고, 그냥 좀 걸을까?] 남산둘레길 함께 걷기+자세교정까지❤️(5/2 토)",2020.5.2 (토) 09:00 ~ 11:00,10.0,0.0,교육,유료,1.0,2020-05-02,(토)
